Transect,Species,Count,Time,Date
Adelie,WISP,1,10:12,11/28/2018
Adelie,UNSK,1,10:13,11/28/2018
Adelie,CORM,1,10:33,11/28/2018
Adelie,WISP,1,10:35,11/28/2018
Adelie,CORM,1,10:35,11/28/2018
Adelie,UNPE,3,10:43,11/28/2018
Adelie,UNSK,1,11:10,11/28/2018
Adelie,UNSK,1,11:28,11/28/2018
Adelie,UNSK,1,11:32,11/28/2018
Adelie,GIPE,1,11:37,11/28/2018
Adelie,GIPE,1,11:39,11/28/2018
Adelie,HUWH,2,11:41,11/28/2018
Adelie,UNSK,1,11:46,11/28/2018
Adelie,WISP,1,11:48,11/28/2018
Adelie,WISP,1,12:03,11/28/2018
Adelie,WISP,1,12:12,11/28/2018
Adelie,WISP,1,12:31,11/28/2018
Adelie,UNSK,1,12:29,11/28/2018
Adelie,WISP,1,12:43,11/28/2018
Adelie,UNSK,1,12:47,11/28/2018
Adelie,ANTE,1,12:48,11/28/2018
Adelie,KEGU,1,12:50,11/28/2018
Adelie,UNSK,1,12:51,11/28/2018
Adelie,UNSK,1,13:03,11/28/2018
Adelie,GEPE,1,13:11,11/28/2018
Adelie,GIPE,1,13:42,11/28/2018
Adelie,UNSK,1,13:57,11/28/2018
Adelie,ANTE,2,14:05,11/28/2018
Adelie,GIPE,1,14:09,11/28/2018
Adelie,GIPE,1,14:12,11/28/2018
Gentoo,UNTE,1,11:00,12/18/2018
Gentoo,WISP,1,11:07,12/18/2018
Gentoo,WISP,1,11:10,12/18/2018
Gentoo,UNSK,1,11:25,12/18/2018
Gentoo,WISP,1,11:27,12/18/2018
Gentoo,UNSK,1,11:34,12/18/2018
Gentoo,UNSK,1,11:36,12/18/2018
Gentoo,UNSK,1,11:40,12/18/2018
Gentoo,UNSK,1,11:41,12/18/2018
Gentoo,UNSK,1,11:45,12/18/2018
Gentoo,WISP,1,11:54,12/18/2018
Gentoo,HUWH,1,11:55,12/18/2018
Gentoo,WISP,2,12:01,12/18/2018
Gentoo,WISP,3,12:04,12/18/2018
Gentoo,WISP,1,12:12,12/18/2018
Gentoo,GEPE,4,12:15,12/18/2018
Gentoo,UNSK,1,12:35,12/18/2018
Gentoo,GIPE,1,12:41,12/18/2018
Gentoo,UNTE,1,12:48,12/18/2018
Gentoo,GIPE,1,12:56,12/18/2018
Gentoo,GIPE,1,12:59,12/18/2018
Gentoo,WISP,1,12:59,12/18/2018
Gentoo,UNSK,1,12:59,12/18/2018
Gentoo,UNTE,1,13:04,12/18/2018
